Tanggal,Emas,IHSG,Minyak Mentah,Kurs USD/IDR
2018-01-02,574.362,6339.24,816051.475,13517.5
2018-01-03,568.486,6251.48,830649.14,13478.0
2018-01-04,570.713,6292.32,832391.235,13423.5
2018-01-05,569.908,6353.74,824248.32,13415.5
2018-01-08,569.747,6385.4,828817.845,13426.5
2018-01-09,566.742,6373.14,846025.0,13437.5
2018-01-10,569.905,6371.17,854158.305,13436.5
2018-01-11,571.297,6386.34,854888.1,13399.5
2018-01-12,576.691,6370.06,858630.0499999999,13353.5
2018-01-15,578.076,6382.19,863142.185,13334.5
2018-01-16,577.807,6429.69,849998.875,13337.5
2018-01-17,572.91,6444.52,854479.275,13357.5
2018-01-18,572.453,6472.67,853476.7000000001,13346.0
2018-01-19,572.192,6490.9,843676.495,13313.5
2018-01-22,573.893,6500.53,847432.775,13347.5
2018-01-23,576.961,6635.33,859062.75,13325.0
2018-01-24,582.718,6615.49,873498.735,13313.5
2018-01-25,577.93,6615.33,870529.6350000001,13288.5
2018-01-26,579.996,6660.62,880124.98,13307.0
2018-01-29,575.524,6680.62,876111.06,13363.5
2018-01-30,577.058,6575.49,866396.25,13432.5
2018-01-31,579.295,6605.63,866637.6050000001,13388.5
2018-02-01,581.4,6598.46,883496.6,13427.0
2018-02-02,575.52,6628.82,880400.675,13451.5
2018-02-05,581.839,6589.68,867628.7500000001,13525.0
2018-02-06,576.482,6478.54,859092.975,13552.5
2018-02-07,574.955,6534.87,837439.87,13553.0
2018-02-08,577.612,6544.63,831945.75,13605.0
2018-02-09,576.817,6505.52,806748.0,13627.5
2018-02-12,579.805,6523.45,809753.1749999999,13657.5
2018-02-13,584.296,6578.18,808387.4249999999,13657.5
2018-02-14,593.351,6594.4,825887.1,13628.5
2018-02-15,591.163,6591.58,831678.39,13558.5
2018-02-19,586.333,6689.29,845903.99,13560.5
2018-02-20,581.286,6662.88,842613.75,13612.5
2018-02-21,580.55,6643.4,839989.08,13618.5
2018-02-22,584.375,6593.06,858850.525,13682.5
2018-02-23,583.065,6619.8,868569.625,13667.5
2018-02-26,584.314,6554.67,873010.6,13660.0
2018-02-27,579.006,6598.93,861661.75,13675.0
2018-02-28,581.295,6597.22,847241.8,13745.0
2018-03-01,581.163,6606.05,838460.025,13747.5
2018-03-02,583.808,6582.32,842646.875,13757.5
2018-03-05,583.301,6550.59,861119.625,13762.5
2018-03-06,591.787,6500.11,862315.0,13775.0
2018-03-07,585.889,6368.27,841790.9,13766.0
2018-03-08,585.464,6443.02,828754.2,13785.0
2018-03-09,586.533,6433.32,854973.24,13781.0
2018-03-12,586.699,6500.69,844927.2,13770.0
2018-03-13,586.82,6412.85,834792.855,13750.5
2018-03-14,585.926,6382.62,837377.04,13736.5
2018-03-15,582.13,6321.9,841209.525,13747.5
2018-03-16,581.25,6304.95,857112.66,13749.0
2018-03-19,583.161,6289.57,854224.87,13764.5
2018-03-20,579.532,6243.58,871750.0,13750.0
2018-03-21,589.652,6312.83,896902.125,13762.5
2018-03-22,589.746,6254.07,884285.75,13752.5
2018-03-23,596.901,6210.7,907991.1,13782.5
2018-03-26,598.231,6200.17,900657.0,13740.0
2018-03-27,594.996,6209.35,896665.5,13742.0
2018-03-28,587.275,6140.84,886061.94,13763.0
2018-03-29,586.82,6188.99,893899.1,13765.0
2018-04-02,593.677,6240.57,866639.5399999999,13754.0
2018-04-03,590.285,6229.01,874183.395,13764.5
2018-04-04,590.401,6157.1,872383.105,13766.5
2018-04-05,589.206,6183.23,874723.41,13766.5
2018-04-06,590.518,6175.05,854783.41,13773.5
2018-04-09,591.666,6246.13,872944.59,13764.5
2018-04-10,593.692,6325.82,900696.9900000001,13749.0
2018-04-11,598.818,6360.93,919342.9699999999,13758.5
2018-04-12,592.588,6310.8,923520.3649999999,13769.5
2018-04-13,595.236,6270.33,926780.975,13752.5
2018-04-16,597.272,6286.75,912147.39,13774.5
2018-04-17,596.123,6285.76,915714.32,13766.0
2018-04-18,598.268,6320.01,943140.015,13774.5
2018-04-19,595.769,6355.9,941104.4900000001,13781.0
2018-04-20,594.811,6337.69,948943.45,13877.5
2018-04-23,591.121,6308.15,953752.8,13895.0
2018-04-24,593.105,6229.64,940183.75,13887.5
2018-04-25,590.074,6079.85,947256.0,13920.0
2018-04-26,587.044,5909.2,946988.625,13887.5
2018-04-27,589.567,5919.24,945908.9999999999,13890.0
2018-04-30,586.446,5994.6,953980.1249999999,13912.5
2018-05-02,585.531,6012.24,947283.8500000001,13945.0
2018-05-03,588.654,5858.73,953743.1250000001,13937.5
2018-05-04,589.5,5792.35,971896.7999999999,13940.0
2018-05-07,591.562,5885.1,990220.0,14000.0
2018-05-08,594.134,5774.72,970293.0,14050.0
2018-05-09,593.839,5907.94,1001651.2,14080.0
2018-05-11,592.256,5956.83,986265.0,13950.0
2018-05-14,590.081,5947.15,991311.2,13970.0
2018-05-15,582.796,5838.12,1000978.4700000001,14037.0
2018-05-16,584.932,5841.46,1007508.57,14093.0
2018-05-17,582.766,5815.92,1004577.48,14052.0
2018-05-18,587.427,5783.31,1008790.2000000001,14152.5
2018-05-21,589.026,5733.85,1024724.3999999999,14185.0
2018-05-22,588.684,5751.12,1019773.94,14138.0
2018-05-23,590.485,5792.0,1020630.88,14207.0
2018-05-24,593.238,5946.54,999485.8499999999,14135.0
2018-05-25,590.391,5975.74,958465.6,14120.0
2018-05-28,585.344,6068.32,938029.5,13990.0
2018-05-30,586.275,6011.06,954257.8999999999,13990.0
2018-05-31,581.217,5983.59,931520.8,13895.0
2018-06-04,575.68,6014.82,898212.0,13872.0
2018-06-05,578.582,6088.79,909352.08,13879.0
2018-06-06,577.879,6069.71,896672.3250000001,13852.5
2018-06-07,578.46,6106.7,914726.5,13870.0
2018-06-08,581.409,5993.63,915758.2,13930.0
2018-06-20,570.092,5884.04,922444.6,13930.0
2018-06-21,572.416,5822.33,924310.6200000001,14103.0
2018-06-22,573.314,5821.81,965606.4,14080.0
2018-06-25,573.164,5859.08,963672.4,14155.0
2018-06-26,570.825,5825.65,999974.34,14178.0
2018-06-27,569.379,5787.55,1031591.28,14178.0
2018-06-28,570.9,5667.32,1056945.5,14390.0
2018-06-29,572.697,5799.24,1062569.5,14330.0
2018-07-02,568.42,5746.77,1063257.2,14380.0
2018-07-03,575.361,5633.94,1066133.2,14380.0
2018-07-04,576.036,5733.64,1063913.76,14352.0
2018-07-05,576.57,5739.33,1049241.9,14385.0
2018-07-06,575.244,5694.91,1060506.0,14370.0
2018-07-09,575.697,5807.38,1057901.25,14325.0
2018-07-10,575.289,5881.76,1064219.6,14360.0
2018-07-11,569.778,5893.36,1012416.2999999999,14385.0
2018-07-12,571.511,5907.87,1011345.4,14380.0
2018-07-13,569.436,5944.07,1021123.8,14380.0
2018-07-16,569.011,5905.16,978362.5,14375.0
2018-07-17,562.826,5861.51,978309.6,14370.0
2018-07-18,563.926,5890.73,990487.8,14405.0
2018-07-19,563.085,5871.08,1005433.4999999999,14475.0
2018-07-20,566.969,5872.78,1020260.7999999999,14480.0
2018-07-23,563.703,5915.8,983726.1,14490.0
2018-07-24,564.91,5931.84,995595.6,14530.0
2018-07-25,567.176,5933.89,1002078.0,14460.0
2018-07-26,563.043,5946.14,1006560.6,14460.0
2018-07-27,561.651,5989.14,990338.075,14417.5
2018-07-30,561.29,6027.94,1010573.2999999999,14410.0
2018-07-31,562.264,5936.44,991519.2000000001,14420.0
2018-08-01,559.763,6033.42,977010.3999999999,14440.0
2018-08-02,556.051,6011.72,998195.9999999999,14475.0
2018-08-03,558.58,6007.54,992591.325,14492.5
2018-08-06,556.128,6101.13,998574.7000000001,14470.0
2018-08-07,557.451,6091.25,998814.8,14440.0
2018-08-08,557.662,6094.83,966278.9,14435.0
2018-08-09,557.835,6065.26,962732.1,14410.0
2018-08-10,557.549,6077.17,978944.2499999999,14475.0
2018-08-13,550.17,5861.25,980784.0,14595.0
2018-08-14,551.071,5769.87,977443.2000000001,14580.0
2018-08-15,547.47,5816.59,949146.0000000001,14600.0
2018-08-16,547.5,5783.8,956370.5999999999,14610.0
2018-08-20,549.083,5892.19,969213.7000000001,14590.0
2018-08-21,551.415,5944.3,981962.9999999999,14580.0
2018-08-23,546.955,5982.98,992352.9,14630.0
2018-08-24,556.005,5968.75,1006198.24,14642.0
2018-08-27,558.114,6025.97,1006879.4,14620.0
2018-08-28,555.43,6042.65,1002045.66,14622.0
2018-08-29,556.951,6065.15,1018669.05,14655.0
2018-08-30,555.127,6018.96,1031972.5,14690.0
2018-08-31,555.155,6018.46,1028154.0,14730.0
2018-09-03,556.015,5967.58,1038827.8,14815.0
2018-09-04,553.033,5905.3,1043508.4500000001,14935.0
2018-09-05,555.314,5683.5,1026333.2,14935.0
2018-09-06,556.84,5776.1,1009095.2999999999,14890.0
2018-09-07,553.623,5851.46,1004055.0,14820.0
2018-09-10,553.606,5831.12,1003441.7800000001,14857.0
2018-09-12,558.339,5798.15,1043235.2500000001,14825.0
2018-09-13,555.809,5858.27,1017875.6000000001,14840.0
2018-09-14,552.456,5931.28,1021396.95,14805.0
2018-09-17,555.654,5824.26,1025208.5249999999,14877.5
2018-09-18,555.88,5811.79,1037621.7499999999,14855.0
2018-09-19,558.027,5873.6,1057910.0,14875.0
2018-09-20,559.131,5931.27,1051026.0,14845.0
2018-09-21,555.281,5957.74,1048888.82,14819.0
2018-09-24,555.705,5882.22,1071649.4,14867.5
2018-09-25,557.104,5874.3,1078417.6,14920.0
2018-09-26,555.03,5873.27,1066750.8499999999,14905.0
2018-09-28,552.724,5976.55,1091534.875,14901.5
2018-10-01,557.477,5944.6,1122723.0,14910.0
2018-10-02,583.467,5875.62,1131835.35,15045.0
2018-10-03,581.964,5867.74,1151880.75,15075.0
2018-10-04,589.556,5756.62,1127586.0999999999,15170.0
2018-10-05,586.478,5731.94,1128481.2,15180.0
2018-10-08,586.571,5761.07,1130508.0750000002,15217.5
2018-10-09,582.431,5796.79,1141640.7999999998,15230.0
2018-10-10,583.744,5820.67,1112403.51,15203.0
2018-10-11,598.205,5702.82,1081227.95,15235.0
2018-10-12,595.176,5756.49,1084724.7,15205.0
2018-10-15,599.971,5727.26,1091773.8,15210.0
2018-10-16,599.088,5800.82,1093184.0,15200.0
2018-10-17,597.811,5868.62,1057061.25,15155.0
2018-10-18,601.658,5845.24,1043033.7750000001,15193.5
2018-10-19,598.585,5837.29,1049760.0,15187.5
2018-10-22,598.434,5840.44,1050346.45,15185.0
2018-10-23,600.738,5797.89,1009071.7000000001,15190.0
2018-10-24,605.037,5709.42,1015463.5399999999,15197.0
2018-10-25,603.007,5754.96,1022574.375,15187.5
2018-10-26,603.065,5784.92,1028483.2350000001,15216.5
2018-10-29,603.621,5754.61,1020348.8,15220.0
2018-10-30,598.107,5789.1,1007458.1400000001,15223.0
2018-10-31,596.157,5831.65,992875.275,15202.5
2018-11-01,599.782,5835.92,963470.475,15127.5
2018-11-02,592.728,5906.29,944100.85,14952.5
2018-11-05,591.782,5920.59,944985.6,14976.0
2018-11-06,585.134,5923.93,920863.525,14802.5
2018-11-07,574.791,5939.89,899148.6,14580.0
2018-11-08,574.437,5976.81,882141.8,14540.0
2018-11-09,572.168,5874.15,883890.15,14685.0
2018-11-12,572.69,5777.05,887862.95,14815.0
2018-11-13,572.87,5835.2,824768.9,14810.0
2018-11-14,575.116,5858.29,831768.75,14787.0
2018-11-15,570.737,5955.74,828691.65,14677.5
2018-11-16,572.439,6012.35,824965.29,14611.5
2018-11-19,574.686,6005.3,828128.4,14590.0
2018-11-21,575.233,5948.05,797871.15,14605.0
2018-11-22,575.966,5990.81,787476.55,14577.5
2018-11-23,571.695,6006.2,733106.8,14540.0
2018-11-26,569.434,6022.78,747344.25,14475.0
2018-11-27,567.134,6013.59,748316.06,14513.5
2018-11-28,569.005,5991.25,730587.975,14527.5
2018-11-29,566.205,6107.17,739979.625,14382.5
2018-11-30,563.192,6056.12,728426.325,14302.5
2018-12-03,565.267,6118.32,754008.0,14240.0
2018-12-04,572.46,6152.86,760942.5,14290.0
2018-12-05,574.517,6133.12,761351.55,14395.0
2018-12-06,578.196,6115.49,747634.8,14520.0
2018-12-07,583.903,6126.36,761266.7,14470.0
2018-12-10,584.232,6111.36,742305.0,14555.0
2018-12-11,584.418,6076.59,754090.0,14600.0
2018-12-12,584.648,6115.58,746662.125,14597.5
2018-12-13,581.453,6177.72,762278.5499999999,14497.5
2018-12-14,580.787,6169.84,746752.0,14585.0
2018-12-17,583.969,6089.31,727001.0,14575.0
2018-12-18,581.963,6081.87,670480.0,14500.0
2018-12-19,580.128,6176.09,681686.0,14442.5
2018-12-20,589.77,6147.88,663883.6000000001,14470.0
2018-12-21,587.645,6163.6,663562.4500000001,14555.0
2018-12-26,594.376,6127.85,673656.5,14575.0
2018-12-27,596.811,6190.64,649521.6,14560.0
2018-12-28,599.887,6194.5,660004.7999999999,14560.0
2019-01-02,595.741,6181.17,672503.0,14450.0
2019-01-03,600.16,6221.01,678566.9,14410.0
2019-01-04,588.757,6274.54,684389.2000000001,14270.0
2019-01-07,583.887,6287.22,683646.8,14090.0
2019-01-08,584.558,6262.85,704138.1,14145.0
2019-01-09,587.604,6272.24,739585.0,14125.0
2019-01-10,582.037,6328.71,739152.4500000001,14055.0
2019-01-11,584.364,6361.46,724581.55,14045.0
2019-01-14,586.704,6336.12,713403.24,14124.0
2019-01-15,585.403,6408.78,734360.175,14092.5
2019-01-16,588.059,6413.36,738747.975,14122.5
2019-01-17,588.971,6423.78,738352.6,14180.0
2019-01-18,583.438,6448.16,762615.0,14175.0
2019-01-21,585.193,6450.83,771428.4,14222.5
2019-01-22,587.309,6468.56,747282.55,14215.0
2019-01-23,585.613,6451.17,746151.6,14180.0
2019-01-24,582.778,6466.65,752586.4500000001,14165.0
2019-01-25,587.977,6482.84,756223.65,14085.0
2019-01-28,589.862,6458.71,731499.3,14070.0
2019-01-29,593.43,6436.48,751404.4500000001,14095.0
2019-01-30,595.538,6464.19,766269.8999999999,14130.0
2019-01-31,593.491,6532.97,751580.775,13972.5
2019-02-01,591.059,6538.64,770324.4,13940.0
2019-02-04,589.15,6481.45,761384.8,13955.0
2019-02-06,584.886,6547.88,751927.22,13922.0
2019-02-07,588.693,6536.46,735512.4,13972.5
2019-02-08,589.399,6521.66,736234.7999999999,13965.0
2019-02-11,590.028,6495.0,735836.3999999999,14040.0
2019-02-12,590.484,6426.33,747037.35,14068.5
2019-02-13,591.697,6419.12,757699.25,14057.5
2019-02-14,594.336,6420.02,766636.8999999999,14090.0
2019-02-15,599.299,6389.08,786181.5750000001,14142.5
2019-02-18,602.588,6497.81,793772.755,14106.5
2019-02-19,608.019,6494.67,790981.18,14102.0
2019-02-20,606.207,6512.78,799156.8,14040.0
2019-02-21,599.104,6537.77,801028.48,14063.0
2019-02-22,599.697,6501.38,804932.45,14057.5
2019-02-25,598.331,6525.36,777690.8999999999,14017.5
2019-02-26,596.921,6540.95,776500.5,13991.0
2019-02-27,595.711,6525.68,798868.2,14030.0
2019-02-28,599.963,6443.35,804799.2999999999,14065.0
2019-03-01,589.717,6499.88,787617.0,14115.0
2019-03-04,584.668,6488.42,799616.7000000001,14130.0
2019-03-05,586.145,6441.28,798627.2000000001,14120.0
2019-03-06,585.34,6457.96,794950.7999999999,14140.0
2019-03-08,597.342,6383.07,802361.7,14310.0
2019-03-11,591.99,6366.43,811529.1,14290.0
2019-03-12,597.108,6353.77,811250.5499999999,14265.0
2019-03-13,599.204,6377.58,831078.9,14265.0
2019-03-14,595.677,6413.27,836188.87,14267.0
2019-03-15,595.657,6461.18,834436.68,14259.0
2019-03-18,597.528,6509.45,841293.875,14237.5
2019-03-19,597.666,6480.28,839996.9,14230.0
2019-03-20,598.321,6482.71,848688.5499999999,14185.0
2019-03-21,593.709,6501.78,848117.2,14140.0
2019-03-22,604.154,6525.27,836301.6,14165.0
2019-03-25,602.521,6411.25,834067.6,14180.0
2019-03-26,600.195,6470.0,849349.7999999999,14170.0
2019-03-27,597.744,6444.74,843324.95,14195.0
2019-03-28,590.881,6480.79,844550.6,14242.0
2019-03-29,590.691,6468.75,856393.6,14240.0
2019-04-01,589.023,6452.61,876117.75,14225.0
2019-04-02,590.616,6476.07,889887.6,14220.0
2019-04-04,588.996,6494.63,880578.0,14180.0
2019-04-05,585.461,6474.02,891005.0,14125.0
2019-04-08,592.549,6425.73,912097.2000000001,14163.0
2019-04-09,593.083,6484.35,904229.34,14133.0
2019-04-10,594.727,6478.33,914231.5,14150.0
2019-04-11,587.373,6410.17,898703.2999999999,14135.0
2019-04-12,585.638,6405.87,900369.825,14092.5
2019-04-15,582.428,6435.15,891404.0,14060.0
2019-04-16,578.089,6481.54,902144.25,14085.0
2019-04-18,575.96,6507.22,898720.0,14042.5
2019-04-22,576.742,6414.74,924727.5,14075.0
2019-04-23,575.138,6462.82,933172.5,14075.0
2019-04-24,577.998,6447.88,928719.55,14095.0
2019-04-25,588.298,6372.79,925003.8499999999,14185.0
2019-04-26,586.647,6401.08,898068.75,14187.5
2019-04-29,584.54,6425.9,901700.0,14200.0
2019-04-30,589.591,6455.35,910717.5,14250.0
2019-05-02,582.233,6374.42,880792.5,14250.0
2019-05-03,583.962,6319.46,882954.7,14255.0
2019-05-06,589.773,6256.35,889708.125,14292.5
2019-05-07,589.206,6297.32,876792.0,14280.0
2019-05-08,588.381,6270.2,888005.3999999999,14295.0
2019-05-09,591.932,6198.8,885395.0,14350.0
2019-05-10,591.79,6209.12,883279.5,14325.0
2019-05-13,599.175,6135.4,879891.6,14415.0
2019-05-14,601.881,6071.2,891485.4,14430.0
2019-05-15,602.77,5980.88,896809.2000000001,14460.0
2019-05-16,597.597,5895.74,908471.5,14450.0
2019-05-17,595.962,5826.87,906882.0,14450.0
2019-05-20,593.725,5907.12,912110.5,14455.0
2019-05-21,592.342,5951.37,912095.2000000001,14480.0
2019-05-22,595.11,5939.64,892125.5,14525.0
2019-05-23,597.049,6032.7,837378.6,14460.0
2019-05-24,594.712,6057.35,843832.275,14392.5
2019-05-27,594.313,6098.97,850720.7999999999,14380.0
2019-05-28,590.88,6033.14,850137.5,14375.0
2019-05-29,592.595,6104.11,846864.0,14400.0
2019-05-31,601.114,6209.12,763712.5,14275.0
2019-06-10,608.926,6289.61,758955.0,14250.0
2019-06-11,610.311,6305.99,758431.625,14237.5
2019-06-12,611.56,6276.18,727977.9,14235.0
2019-06-13,617.319,6273.08,746558.4,14280.0
2019-06-14,616.99,6250.27,752205.75,14325.0
2019-06-17,620.991,6190.52,744416.55,14335.0
2019-06-18,618.303,6257.33,771982.75,14322.5
2019-06-19,623.898,6339.26,767128.32,14269.5
2019-06-20,632.639,6335.7,803438.625,14182.5
2019-06-21,635.439,6315.44,812921.65,14155.0
2019-06-24,650.119,6288.46,818706.0,14140.0
2019-06-25,644.18,6320.44,816848.75,14125.0
2019-06-26,642.675,6310.49,841711.5,14175.0
2019-06-27,643.718,6352.71,840340.2,14140.0
2019-06-28,640.195,6358.63,826034.9249999999,14127.5
2019-07-01,629.209,6379.69,833907.625,14112.5
2019-07-02,653.443,6384.9,795234.375,14137.5
2019-07-03,643.423,6362.62,809497.4500000001,14117.5
2019-07-04,645.996,6375.97,803152.0,14140.0
2019-07-05,632.695,6373.48,809884.575,14082.5
2019-07-08,632.717,6351.83,813582.6,14110.0
2019-07-09,635.662,6388.32,817137.9,14130.0
2019-07-10,645.649,6410.68,853875.9,14130.0
2019-07-11,637.868,6417.07,846713.0,14065.0
2019-07-12,636.36,6373.35,843361.47,14007.0
2019-07-15,633.134,6418.23,829323.8099999999,13919.5
2019-07-16,633.136,6401.88,802934.7,13935.0
2019-07-17,640.063,6394.61,793784.4,13980.0
2019-07-18,645.576,6403.29,771988.0,13960.0
2019-07-19,637.829,6456.54,775204.05,13935.0
2019-07-22,638.339,6433.55,783987.9,13945.0
2019-07-23,639.946,6403.81,793871.68,13984.0
2019-07-24,641.427,6384.99,781928.8400000001,13993.0
2019-07-25,635.919,6401.37,783019.55,13977.5
2019-07-26,636.916,6325.24,787024.8,14004.0
2019-07-29,642.137,6299.04,797317.3999999999,14020.0
2019-07-30,644.832,6377.0,813861.0,14020.0
2019-07-31,643.786,6390.5,821115.86,14017.0
2019-08-01,652.928,6381.54,761558.2000000001,14116.0
2019-08-02,659.191,6340.18,789258.7999999999,14180.0
2019-08-05,672.619,6175.7,779605.95,14255.0
2019-08-06,675.206,6119.47,765031.9500000001,14265.0
2019-08-07,688.169,6204.19,726627.525,14222.5
2019-08-08,688.324,6274.67,746488.32,14208.0
2019-08-09,685.073,6282.13,773355.0,14190.0
2019-08-12,692.721,6250.6,782615.175,14247.5
2019-08-13,693.413,6210.96,817529.25,14317.5
2019-08-14,694.758,6267.33,786751.35,14245.0
2019-08-15,703.881,6257.59,777150.725,14267.5
2019-08-16,692.138,6286.66,781074.45,14235.0
2019-08-19,689.926,6296.71,800149.35,14235.0
2019-08-20,693.972,6295.74,803408.4,14260.0
2019-08-21,690.268,6252.97,792883.2,14240.0
2019-08-22,685.394,6239.25,787907.25,14235.0
2019-08-23,686.09,6255.6,769891.125,14212.5
2019-08-26,699.626,6214.51,763833.6,14240.0
2019-08-27,707.415,6278.17,783027.15,14255.0
2019-08-28,704.803,6281.65,795143.9,14255.0
2019-08-29,699.708,6289.12,807408.625,14237.5
2019-08-30,693.544,6328.47,781593.5,14185.0
2019-09-02,700.59,6290.55,775844.0399999999,14194.0
2019-09-03,708.207,6261.59,767296.5,14225.0
2019-09-04,705.581,6269.66,796219.65,14152.5
2019-09-05,690.866,6306.8,796645.0,14150.0
2019-09-06,681.232,6308.95,796649.4,14095.0
2019-09-09,675.404,6326.21,811693.35,14031.0
2019-09-10,671.467,6336.67,806470.0,14050.0
2019-09-11,673.854,6381.95,783845.0,14060.0
2019-09-12,673.762,6342.17,770709.1000000001,13990.0
2019-09-13,668.358,6334.84,765980.25,13965.0
2019-09-16,676.206,6219.44,883116.0,14040.0
2019-09-17,673.197,6236.69,836397.3,14095.0
2019-09-18,678.104,6276.63,817026.6,14060.0
2019-09-19,680.918,6244.47,817307.8,14060.0
2019-09-20,684.938,6231.47,816454.9500000001,14055.0
2019-09-23,688.197,6206.2,825944.4,14085.0
2019-09-24,695.308,6137.61,808505.125,14112.5
2019-09-25,684.741,6146.4,799333.5,14150.0
2019-09-26,687.131,6230.33,799752.7749999999,14177.5
2019-09-27,681.955,6196.89,791965.1499999999,14165.0
2019-09-30,673.947,6169.1,767523.65,14195.0
2019-10-01,675.163,6138.25,762074.25,14212.5
2019-10-02,682.066,6055.42,747224.8,14195.0
2019-10-03,687.82,6038.53,743347.625,14172.5
2019-10-04,683.163,6061.25,746469.35,14135.0
